timestamp,frame_id,current_count,avg_count,low_stock_alert,fps,event_type
2026-02-24T09:01:01.636324,0,3,3.0,0,1.52,alert_change
2026-02-24T09:01:02.682263,13,4,3.6,0,12.04,periodic
2026-02-24T09:01:03.683455,26,4,4.0,0,12.65,periodic
2026-02-24T09:01:04.697062,39,4,3.7,0,12.16,periodic
2026-02-24T09:01:05.771633,53,4,4.0,0,12.62,periodic
2026-02-24T09:01:06.849573,67,3,3.9,0,12.7,periodic
2026-02-24T09:01:07.859615,80,3,3.6,0,12.82,periodic
2026-02-24T09:01:08.863064,93,3,3.0,0,12.89,periodic
2026-02-24T09:01:09.878789,106,3,3.0,0,12.94,periodic
2026-02-24T09:01:10.896316,119,3,3.0,0,13.77,periodic
2026-02-24T09:01:11.915152,132,2,2.2,0,12.47,periodic
2026-02-24T09:01:12.836215,144,2,2.0,1,12.91,alert_change
2026-02-24T09:01:13.860451,157,2,2.0,1,13.01,periodic
2026-02-24T09:01:14.892535,170,2,2.0,1,14.82,periodic
2026-02-24T09:01:15.746072,181,3,3.0,0,13.46,alert_change
2026-02-24T09:01:16.775109,194,3,3.0,0,12.28,periodic
2026-02-24T09:01:17.841233,208,2,2.2,0,14.27,periodic
2026-02-24T09:01:18.781625,220,2,2.0,1,13.8,alert_change
2026-02-24T09:01:19.787237,233,3,2.4,1,12.17,periodic
2026-02-24T09:01:20.176641,238,3,3.0,0,13.08,alert_change
2026-02-24T09:01:21.249598,252,3,3.0,0,13.41,periodic
2026-02-24T09:01:22.271101,265,3,3.2,0,13.0,periodic
2026-02-24T09:01:23.284848,278,4,4.0,0,11.67,periodic
2026-02-24T09:01:24.368355,292,4,4.0,0,11.66,periodic
2026-02-24T09:01:25.385911,305,3,3.9,0,11.88,periodic
2026-02-24T09:01:26.393069,318,3,3.0,0,14.0,periodic
2026-02-24T09:01:27.410089,331,2,2.8,0,13.47,periodic
2026-02-24T09:01:28.430902,344,2,2.0,0,11.9,periodic
2026-02-24T09:01:28.814005,349,2,2.0,1,13.1,alert_change
2026-02-24T09:01:29.862253,363,1,1.3,1,14.65,periodic
2026-02-24T09:01:30.873294,376,1,1.0,1,12.02,periodic
2026-02-24T09:01:31.897803,388,0,0.2,1,13.44,periodic
2026-02-24T09:01:32.912834,401,0,0.0,1,13.36,periodic
2026-02-24T09:01:33.935822,414,0,0.0,1,13.42,periodic
2026-02-25T18:23:29.405100,0,2,2.0,0,2.52,alert_change
2026-02-25T18:23:30.449790,13,2,2.8,0,12.21,periodic
2026-02-25T18:23:30.918030,19,2,2.6,1,13.71,alert_change
2026-02-25T18:23:31.976466,33,2,2.0,1,12.61,periodic
2026-02-25T18:23:33.019989,47,1,1.5,1,12.39,periodic
2026-02-25T18:23:34.065854,61,2,1.7,1,13.95,periodic
2026-02-25T18:23:35.124523,74,2,1.9,1,14.49,periodic
2026-02-25T18:23:36.190816,88,2,2.0,1,10.83,periodic
2026-02-25T18:23:37.217924,101,3,2.0,1,11.56,periodic
2026-02-25T18:23:38.256122,115,2,1.9,1,13.85,periodic
2026-02-25T18:23:39.322166,129,2,2.1,1,13.92,periodic
2026-02-25T18:23:40.391338,143,3,2.4,1,13.43,periodic
2026-02-25T18:23:41.425852,156,2,2.6,1,12.94,periodic
2026-02-25T18:23:42.458631,169,2,2.0,1,8.66,periodic
2026-02-25T18:23:43.369904,181,3,3.0,0,13.63,alert_change
2026-02-25T18:23:44.384532,194,3,3.3,0,14.1,periodic
2026-02-25T18:23:45.404465,207,3,3.1,0,13.42,periodic
2026-02-25T18:23:46.453800,221,4,3.1,0,14.63,periodic
2026-02-25T18:23:47.498688,235,4,4.0,0,13.45,periodic
2026-02-25T18:23:48.568083,249,4,4.0,0,13.6,periodic
2026-02-25T18:23:49.603945,263,4,4.0,0,11.43,periodic
2026-02-25T18:23:50.659153,277,5,5.0,0,12.45,periodic
2026-02-25T18:23:51.665955,290,5,4.9,0,11.92,periodic
2026-02-25T18:23:52.705973,304,5,4.7,0,13.53,periodic
2026-02-25T18:23:53.775516,318,4,5.0,0,13.06,periodic
2026-02-25T18:23:54.825134,332,5,5.0,0,13.22,periodic
2026-02-25T18:23:55.890640,346,5,5.0,0,13.11,periodic
2026-02-25T18:23:56.939804,360,5,5.0,0,12.78,periodic
2026-02-25T18:23:57.987249,374,5,5.0,0,13.39,periodic
2026-02-25T18:23:59.028299,388,5,5.1,0,14.47,periodic
2026-02-25T18:24:00.076055,402,5,4.8,0,11.88,periodic
2026-02-25T18:24:01.101876,416,4,4.2,0,13.54,periodic
2026-02-25T18:24:02.103637,429,4,3.8,0,13.11,periodic
2026-02-25T18:24:03.177648,443,4,3.6,0,12.35,periodic
2026-02-25T18:24:04.246469,457,5,4.1,0,14.05,periodic
2026-02-25T18:24:05.290363,471,5,4.7,0,15.1,periodic
2026-02-25T18:24:06.315654,484,5,4.2,0,12.52,periodic
2026-02-25T18:24:07.377664,498,6,4.2,0,13.83,periodic
2026-02-25T18:24:08.413493,512,4,4.3,0,13.73,periodic
2026-02-25T18:24:09.466721,526,4,4.1,0,11.76,periodic
2026-02-25T18:24:10.527387,540,6,5.7,0,12.42,periodic
2026-02-25T18:24:11.572676,554,5,5.1,0,13.4,periodic
2026-02-25T18:24:12.627754,568,6,5.4,0,13.46,periodic
2026-02-25T18:24:13.710294,582,6,6.0,0,9.11,periodic
2026-02-25T18:24:14.711149,595,5,5.3,0,13.45,periodic
2026-02-25T18:24:15.730481,609,5,5.2,0,13.99,periodic
2026-02-25T18:24:16.779861,623,5,4.9,0,13.35,periodic
2026-02-25T18:24:17.852289,637,5,4.5,0,13.18,periodic
2026-02-25T18:24:18.894401,651,4,4.0,0,13.42,periodic
2026-02-25T18:24:19.978863,665,4,4.0,0,10.97,periodic
2026-02-25T18:24:21.029256,679,4,4.2,0,12.57,periodic
2026-02-25T18:24:22.072994,693,5,4.8,0,12.14,periodic
2026-02-25T18:24:23.128783,707,5,5.0,0,12.71,periodic
2026-02-25T18:24:24.190443,721,4,3.8,0,13.75,periodic
2026-02-25T18:24:25.263785,735,3,3.7,0,12.44,periodic
2026-02-25T18:24:26.335083,749,4,4.3,0,11.77,periodic
2026-02-25T18:24:27.404471,763,5,4.3,0,13.1,periodic
2026-02-25T18:24:28.472531,777,5,5.0,0,13.13,periodic
2026-02-25T18:24:29.513088,791,5,4.9,0,13.16,periodic
2026-02-25T18:24:30.560048,805,4,4.3,0,12.74,periodic
2026-02-25T18:24:31.590176,818,5,4.8,0,10.37,periodic
2026-02-25T18:24:32.642130,832,5,4.8,0,12.82,periodic
2026-02-25T18:24:33.686112,845,5,5.2,0,14.05,periodic
2026-02-25T18:24:34.720499,859,1,1.0,0,13.06,periodic
2026-02-25T18:24:35.724246,872,6,5.4,0,12.22,periodic
2026-02-25T18:37:50.344644,0,0,0.0,0,1.59,alert_change
2026-02-25T18:37:51.400443,11,0,0.0,0,11.65,periodic
2026-02-25T18:37:52.189479,19,0,0.0,1,8.92,alert_change
2026-02-25T18:37:53.283948,34,0,0.0,1,10.16,periodic
2026-02-25T18:37:54.347060,49,0,0.0,1,12.76,periodic
2026-02-25T18:37:55.355875,63,0,0.0,1,14.11,periodic
2026-02-25T18:37:56.358929,77,0,0.0,1,14.56,periodic
2026-02-25T18:37:57.382669,91,1,1.0,1,12.71,periodic
2026-02-25T18:37:58.438863,104,1,1.0,1,12.86,periodic
2026-02-25T18:37:59.486966,118,1,1.0,1,14.29,periodic
2026-02-25T18:38:00.518999,132,1,1.0,1,11.77,periodic
2026-02-25T18:38:01.553585,146,1,1.0,1,12.56,periodic
2026-02-25T18:38:02.583944,160,2,2.0,1,13.44,periodic
2026-02-25T18:38:03.637947,174,2,2.0,1,12.74,periodic
2026-02-25T18:38:04.684586,188,2,2.0,1,12.04,periodic
2026-02-25T18:38:05.724707,202,3,2.7,1,14.19,periodic
2026-02-25T18:38:06.795142,216,3,2.9,1,12.39,periodic
2026-02-25T18:38:06.964919,218,3,3.0,0,11.36,alert_change
2026-02-25T18:38:07.976844,231,3,3.0,0,12.84,periodic
2026-02-25T18:38:09.047445,245,2,3.4,0,12.66,periodic
2026-02-25T18:38:10.051191,258,4,2.9,0,14.47,periodic
2026-02-25T18:38:11.088398,272,4,3.1,0,12.72,periodic
2026-02-25T18:38:12.119322,286,3,3.8,0,13.88,periodic
2026-02-25T18:38:13.187140,300,3,3.2,0,14.58,periodic
2026-02-25T18:38:14.233089,314,3,2.4,0,12.89,periodic
2026-02-25T18:38:14.901379,322,2,2.2,1,10.8,alert_change
2026-02-25T18:38:15.953772,335,3,2.4,1,11.99,periodic
2026-02-25T18:38:17.008416,348,3,2.5,1,12.29,periodic
2026-02-25T18:38:17.518793,355,3,3.0,0,13.77,alert_change
2026-02-25T18:38:18.530338,368,2,3.2,0,14.39,periodic
2026-02-25T18:38:19.581225,381,3,2.2,0,14.84,periodic
2026-02-25T18:38:20.634919,394,4,3.3,0,11.51,periodic
2026-02-25T18:38:21.718557,408,3,3.0,0,11.59,periodic
2026-02-25T18:38:22.762475,421,3,3.1,0,12.05,periodic
2026-02-25T18:43:05.215305,0,2,2.0,0,2.11,alert_change
2026-02-25T18:43:06.261275,13,4,3.2,0,13.9,periodic
2026-02-25T18:43:07.347047,25,3,2.9,0,10.99,periodic
2026-02-25T18:43:08.351561,38,2,2.9,0,12.3,periodic
2026-02-25T18:43:09.427090,52,2,1.9,0,12.04,periodic
2026-02-25T18:43:09.844608,57,3,2.0,1,12.05,alert_change
2026-02-25T18:43:10.913423,71,2,2.5,1,11.26,periodic
2026-02-25T18:43:11.999746,84,2,2.1,1,11.37,periodic
2026-02-25T18:43:13.047657,97,3,2.8,1,13.59,periodic
2026-02-25T18:43:14.065663,110,3,2.6,1,14.38,periodic
2026-02-25T18:43:15.097384,123,2,1.9,1,12.1,periodic
2026-02-25T18:43:15.712953,131,4,3.1,0,12.09,alert_change
2026-02-25T18:43:16.761906,144,2,3.2,0,10.92,periodic
2026-02-25T18:43:17.797707,157,4,2.8,0,11.69,periodic
2026-02-25T18:43:18.840524,170,4,4.0,0,12.13,periodic
2026-02-25T18:43:19.880404,183,4,3.9,0,12.63,periodic
2026-02-25T18:43:20.896237,196,4,4.0,0,12.8,periodic
2026-02-25T18:43:21.986374,209,4,4.0,0,10.94,periodic
2026-02-25T18:43:22.989269,220,4,4.0,0,12.81,periodic
2026-02-25T18:43:24.054165,233,4,4.0,0,11.28,periodic
2026-02-25T18:43:25.071821,246,3,3.8,0,12.4,periodic
2026-02-25T18:43:26.138559,260,3,3.0,0,11.72,periodic
2026-02-25T18:43:27.139505,273,3,3.0,0,12.99,periodic
2026-02-25T18:43:28.205519,286,4,3.8,0,13.8,periodic
2026-02-25T18:43:29.252732,299,3,3.9,0,14.19,periodic
2026-02-25T18:43:30.267833,311,4,3.9,0,11.4,periodic
2026-02-25T18:43:31.307422,324,2,3.0,0,12.33,periodic
2026-02-25T18:43:32.362500,337,4,3.3,0,14.13,periodic
2026-02-25T18:43:33.412265,350,3,3.8,0,11.98,periodic
2026-02-25T18:43:34.470051,362,3,3.0,0,6.0,periodic
2026-02-25T18:43:35.470110,375,4,4.0,0,13.3,periodic
2026-02-25T18:43:36.524287,389,4,4.1,0,13.76,periodic
2026-02-25T18:43:37.590285,403,4,4.0,0,14.15,periodic
2026-02-25T18:43:38.671297,417,4,3.2,0,12.21,periodic
2026-02-25T18:43:39.710587,430,4,3.9,0,13.64,periodic
2026-02-25T18:43:40.726615,443,4,4.0,0,12.92,periodic
2026-02-25T18:43:41.727580,456,4,4.0,0,13.8,periodic
2026-02-25T18:43:42.799022,470,4,4.0,0,13.48,periodic
2026-02-25T18:43:43.826383,483,4,3.9,0,12.11,periodic
2026-02-25T18:43:44.848819,496,4,3.0,0,15.37,periodic
2026-02-25T18:43:45.884062,509,3,2.8,0,12.44,periodic
2026-02-25T18:43:46.895905,521,1,2.0,0,13.23,periodic
2026-02-25T18:43:47.202675,525,3,1.9,1,12.9,alert_change
2026-02-25T18:43:48.268006,539,1,1.1,1,14.11,periodic
2026-02-25T18:43:49.268980,552,1,1.1,1,13.68,periodic
2026-02-25T18:43:50.290930,566,2,1.7,1,13.23,periodic
2026-02-25T18:43:51.353612,579,3,2.3,1,11.82,periodic
2026-02-25T18:43:52.401702,593,3,2.5,1,14.42,periodic
2026-02-25T18:43:53.339642,605,3,3.0,0,11.9,alert_change
2026-02-25T18:43:54.424753,618,3,3.3,0,10.73,periodic
2026-02-25T18:43:55.505030,632,3,3.2,0,11.9,periodic
2026-02-25T18:43:56.561303,646,3,3.3,0,13.89,periodic
2026-02-25T18:43:57.632541,660,1,2.3,0,12.81,periodic
2026-02-25T18:43:58.683782,674,2,1.3,0,13.7,periodic
2026-02-25T18:43:58.828562,676,2,1.6,1,13.55,alert_change
2026-02-25T18:43:59.873134,690,1,1.3,1,14.42,periodic
2026-02-25T18:44:00.878951,703,3,2.1,1,14.66,periodic
2026-02-25T18:44:01.451493,710,4,3.0,0,11.21,alert_change
2026-02-25T18:44:02.479314,724,3,3.2,0,13.18,periodic
2026-02-25T18:44:03.541201,738,1,1.6,0,13.35,periodic
2026-02-25T18:44:04.239090,747,2,1.4,1,13.41,alert_change
2026-02-25T18:44:05.267464,760,1,1.3,1,11.63,periodic
2026-02-25T18:44:06.326348,774,3,2.5,1,12.85,periodic
2026-02-25T18:44:06.627584,778,4,3.0,0,14.2,alert_change
2026-02-25T18:44:07.644416,792,4,3.4,0,13.48,periodic
2026-02-25T18:44:08.705745,806,3,2.8,0,14.41,periodic
2026-02-25T18:44:09.717264,819,2,2.1,0,11.37,periodic
2026-02-25T18:44:10.013637,823,2,2.1,1,13.48,alert_change
2026-02-25T18:44:11.044970,837,3,2.4,1,15.32,periodic
2026-02-25T18:44:11.436871,842,3,3.0,0,12.04,alert_change
2026-02-25T18:44:12.491358,856,4,3.5,0,11.9,periodic
2026-02-25T18:44:13.553598,870,2,3.3,0,14.21,periodic
2026-02-25T18:44:14.628331,884,4,2.7,0,13.22,periodic
2026-02-25T18:44:15.676725,898,4,4.1,0,11.68,periodic
2026-02-25T18:44:16.729399,912,4,4.0,0,13.2,periodic
2026-02-25T18:44:17.730225,925,4,3.8,0,11.2,periodic
2026-02-25T18:44:18.747123,938,4,4.0,0,11.89,periodic
2026-02-25T18:44:19.800975,952,2,2.7,0,14.5,periodic
2026-02-25T18:44:20.869491,966,3,2.5,0,12.17,periodic
2026-02-25T18:44:21.155354,970,3,2.6,1,15.01,alert_change
2026-02-25T18:44:21.303704,972,4,3.0,0,13.39,alert_change
2026-02-25T18:44:22.304186,985,4,4.0,0,14.36,periodic
2026-02-25T18:44:23.325910,998,4,4.0,0,11.99,periodic
2026-02-25T18:44:24.329458,1011,4,3.9,0,14.26,periodic
2026-02-25T18:44:25.407747,1025,3,3.8,0,11.94,periodic
2026-02-25T18:44:26.484081,1039,4,3.7,0,11.99,periodic
2026-02-25T18:44:27.541952,1053,4,3.9,0,11.84,periodic
2026-02-25T18:44:28.603428,1067,4,3.9,0,13.84,periodic
2026-02-25T18:44:29.655679,1081,4,3.6,0,12.29,periodic
2026-02-25T18:44:30.714336,1095,4,4.0,0,11.57,periodic
2026-02-25T18:44:31.768264,1109,4,4.0,0,13.93,periodic
2026-02-25T18:44:32.784789,1122,4,4.0,0,14.29,periodic
2026-02-25T18:44:33.821073,1136,4,4.0,0,13.41,periodic
2026-02-25T18:44:34.889044,1150,4,4.0,0,14.26,periodic
2026-02-25T18:44:35.901135,1163,3,3.9,0,13.3,periodic
2026-02-25T18:44:36.972588,1177,3,3.0,0,13.98,periodic
2026-02-25T18:44:38.030191,1191,3,2.8,0,13.28,periodic
2026-02-25T18:44:39.089936,1205,3,2.9,0,13.68,periodic
